type,client,tx,amount
deposit,1,1,100.00
deposit,1,2,25.50
withdrawal,1,3,10.25
dispute,1,1,0
resolve,1,1,0
withdrawal,1,4,80.00
dispute,1,2,0
chargeback,1,2,0
deposit,1,5,10.00
withdrawal,1,6,5.00
deposit,2,7,250.75
withdrawal,2,8,40.25
dispute,2,7,0
withdrawal,2,9,150.00
resolve,2,7,0
withdrawal,2,10,200.00
deposit,2,11,15.25
dispute,2,999,0
deposit,3,12,500.00
deposit,3,13,125.25
withdrawal,3,14,625.25
withdrawal,3,15,0.01
deposit,3,16,50.00
dispute,3,16,0
chargeback,3,16,0
deposit,4,17,75.00
withdrawal,4,18,100.00
deposit,4,19,25.00
dispute,4,19,0
resolve,4,19,0
withdrawal,4,20,25.00
deposit,5,21,10.10
deposit,5,22,20.20
deposit,5,23,30.30
dispute,5,22,0
resolve,5,22,0
dispute,5,23,0
chargeback,5,23,0
withdrawal,5,24,5.00
deposit,6,25,1000.00
withdrawal,6,26,333.33
withdrawal,6,27,333.33
withdrawal,6,28,333.34
deposit,6,29,1.00
dispute,6,25,0
resolve,6,25,0
deposit,7,30,42.42
dispute,7,30,0
resolve,7,30,0
dispute,7,30,0
chargeback,7,30,0
