type,client,tx,amount
deposit,3,1,500.00
deposit,1,2,100.00
deposit,7,3,42.42
deposit,2,4,250.75
withdrawal,1,5,10.25
deposit,5,6,10.10
withdrawal,3,7,125.25
deposit,4,8,75.00
deposit,6,9,1000.00
deposit,1,10,25.50
withdrawal,2,11,40.25
deposit,8,12,300.00
dispute,3,1,0
deposit,5,13,20.20
withdrawal,6,14,333.33
dispute,1,2,0
deposit,9,15,90.90
withdrawal,4,16,100.00
resolve,3,1,0
deposit,10,17,10.00
deposit,2,18,15.25
withdrawal,8,19,25.00
deposit,5,20,30.30
chargeback,1,2,0
withdrawal,6,21,333.33
deposit,4,22,25.00
dispute,5,13,0
deposit,11,23,100.00
withdrawal,2,24,150.00
resolve,5,13,0
deposit,12,25,1200.00
dispute,7,3,0
deposit,6,26,1.00
withdrawal,3,27,50.00
deposit,1,28,10.00
dispute,4,22,0
withdrawal,8,29,400.00
deposit,13,30,64.64
resolve,4,22,0
deposit,14,31,700.70
dispute,2,4,0
withdrawal,10,32,5.00
deposit,15,33,33.33
chargeback,7,3,0
withdrawal,6,34,333.34
deposit,16,35,16.16
dispute,11,23,0
deposit,3,36,125.00
resolve,2,4,0
withdrawal,12,37,200.00
deposit,17,38,250.00
dispute,5,20,0
deposit,18,39,18.18
withdrawal,9,40,45.45
chargeback,5,20,0
deposit,19,41,999.99
dispute,13,30,0
withdrawal,14,42,100.10
deposit,20,43,20.20
resolve,13,30,0
deposit,21,44,210.00
withdrawal,17,45,10.00
dispute,12,25,0
deposit,22,46,22.22
withdrawal,19,47,99.99
deposit,23,48,230.00
dispute,14,31,0
deposit,24,49,24.24
withdrawal,21,50,21.00
resolve,12,25,0
deposit,25,51,2500.00
dispute,18,39,0
withdrawal,23,52,30.00
deposit,26,53,260.26
chargeback,14,31,0
deposit,27,54,27.27
withdrawal,25,55,500.00
deposit,28,56,280.00
dispute,19,41,0
deposit,29,57,29.29
withdrawal,26,58,60.26
resolve,18,39,0
deposit,30,59,300.30
dispute,21,44,0
deposit,2,60,75.00
withdrawal,28,61,80.00
deposit,3,62,62.62
dispute,23,48,0
withdrawal,30,63,100.10
deposit,4,64,64.64
resolve,23,48,0
deposit,5,65,65.65
dispute,24,49,0
withdrawal,22,66,2.22
deposit,6,67,67.67
chargeback,19,41,0
deposit,7,68,68.68
dispute,26,53,0
withdrawal,27,69,7.27
deposit,8,70,70.70
resolve,26,53,0
deposit,9,71,71.71
dispute,28,56,0
withdrawal,29,72,9.29
deposit,10,73,73.73
deposit,11,74,74.74
dispute,30,59,0
withdrawal,13,75,4.64
deposit,12,76,76.76
resolve,30,59,0
deposit,15,77,77.77
dispute,16,35,0
withdrawal,20,78,10.10
deposit,17,79,79.79
dispute,17,38,0
withdrawal,18,80,8.18
deposit,20,81,81.81
dispute,20,43,0
withdrawal,24,82,4.24
deposit,22,83,83.83
resolve,20,43,0
deposit,1,84,84.84
dispute,2,60,0
withdrawal,3,85,85.00
deposit,4,86,86.86
dispute,4,64,0
deposit,6,87,87.87
withdrawal,8,88,50.00
dispute,8,12,0
deposit,9,89,89.89
resolve,8,12,0
deposit,10,90,90.90
dispute,10,73,0
deposit,11,91,91.91
chargeback,10,73,0
deposit,12,92,92.92
dispute,12,76,0
deposit,13,93,93.93
withdrawal,15,94,11.11
deposit,16,95,95.95
dispute,16,95,0
deposit,18,96,96.96
withdrawal,21,97,50.00
deposit,23,98,98.98
dispute,23,98,0
deposit,25,99,99.99
withdrawal,25,100,250.00
dispute,25,51,0
deposit,27,101,101.01
withdrawal,28,102,20.00
deposit,29,103,103.03
dispute,29,103,0
deposit,30,104,104.04
withdrawal,30,105,44.04
dispute,30,104,0
